name,domain,password,role
1000,SVAutoDRS,1000,premier
1001,SVAutoDRS,1001,premier
1002,SVAutoDRS,1002,premier
1003,SVAutoDRS,1003,premier
1004,SVAutoDRS,1004,premier
1005,SVAutoDRS,1005,premier
1006,SVAutoDRS,1006,premier
1007,SVAutoDRS,1007,premier
1008,SVAutoDRS,1008,premier
1009,SVAutoDRS,1009,premier
1010,SVAutoDRS,1010,premier
1011,SVAutoDRS,1011,premier
1012,SVAutoDRS,1012,premier
1013,SVAutoDRS,1013,premier
1014,SVAutoDRS,1014,premier
1015,SVAutoDRS,1015,premier
1016,SVAutoDRS,1016,premier
1017,SVAutoDRS,1017,premier
1018,SVAutoDRS,1018,premier
1019,SVAutoDRS,1019,premier
1020,SVAutoDRS,1020,premier
1021,SVAutoDRS,1021,premier
1022,SVAutoDRS,1022,premier
1023,SVAutoDRS,1023,premier
1024,SVAutoDRS,1024,premier
1025,SVAutoDRS,1025,premier
1026,SVAutoDRS,1026,premier
1027,SVAutoDRS,1027,premier
1028,SVAutoDRS,1028,premier
1029,SVAutoDRS,1029,premier
1030,SVAutoDRS,1030,premier
1031,SVAutoDRS,1031,premier
1032,SVAutoDRS,1032,premier
1033,SVAutoDRS,1033,premier
1034,SVAutoDRS,1034,premier
1035,SVAutoDRS,1035,premier
1036,SVAutoDRS,1036,premier
1037,SVAutoDRS,1037,premier
1038,SVAutoDRS,1038,premier
1039,SVAutoDRS,1039,premier
1040,SVAutoDRS,1040,premier
1041,SVAutoDRS,1041,premier
1042,SVAutoDRS,1042,premier
1043,SVAutoDRS,1043,premier
1044,SVAutoDRS,1044,premier
1045,SVAutoDRS,1045,premier
1046,SVAutoDRS,1046,premier
1047,SVAutoDRS,1047,premier
1048,SVAutoDRS,1048,premier
1049,SVAutoDRS,1049,premier
1050,SVAutoDRS,1050,premier
1051,SVAutoDRS,1051,premier
1052,SVAutoDRS,1052,premier
1053,SVAutoDRS,1053,premier
1054,SVAutoDRS,1054,premier
1055,SVAutoDRS,1055,premier
1056,SVAutoDRS,1056,premier
1057,SVAutoDRS,1057,premier
1058,SVAutoDRS,1058,premier
1059,SVAutoDRS,1059,premier
1060,SVAutoDRS,1060,premier
1061,SVAutoDRS,1061,premier
1062,SVAutoDRS,1062,premier
1063,SVAutoDRS,1063,premier
1064,SVAutoDRS,1064,premier
1065,SVAutoDRS,1065,premier
1066,SVAutoDRS,1066,premier
1067,SVAutoDRS,1067,premier
1068,SVAutoDRS,1068,premier
1069,SVAutoDRS,1069,premier
1070,SVAutoDRS,1070,premier
1071,SVAutoDRS,1071,premier
1072,SVAutoDRS,1072,premier
1073,SVAutoDRS,1073,premier
1074,SVAutoDRS,1074,premier
1075,SVAutoDRS,1075,premier
1076,SVAutoDRS,1076,premier
1077,SVAutoDRS,1077,premier
1078,SVAutoDRS,1078,premier
1079,SVAutoDRS,1079,premier
1080,SVAutoDRS,1080,premier
1081,SVAutoDRS,1081,premier
1082,SVAutoDRS,1082,premier
1083,SVAutoDRS,1083,premier
1084,SVAutoDRS,1084,premier
1085,SVAutoDRS,1085,premier
1086,SVAutoDRS,1086,premier
1087,SVAutoDRS,1087,premier
1088,SVAutoDRS,1088,premier
1089,SVAutoDRS,1089,premier
1090,SVAutoDRS,1090,premier
1091,SVAutoDRS,1091,premier
1092,SVAutoDRS,1092,premier
1093,SVAutoDRS,1093,premier
1094,SVAutoDRS,1094,premier
1095,SVAutoDRS,1095,premier
1096,SVAutoDRS,1096,premier
1097,SVAutoDRS,1097,premier
1098,SVAutoDRS,1098,premier
1099,SVAutoDRS,1099,premier
